asin;type;name;openbid;price;auction_duration;unixEndDate;endDate;bidders;bids
2435;Mobile;Apple iPhone 8+ - 64GB - Gold (Unlocked) (Read Description) BJ1103;1.0;224.0;1 day;1620437601.0;8 May 2021 at 9:33:21am PDT;18.0;35.0
2833;Mobile;Apple iPhone XS - 64GB - Gold (Unlocked) (Read Description) BJ1122;1.0;285.0;1 day;1620438337.0;8 May 2021 at 9:45:37am PDT;19.0;43.0
2836;Mobile;Samsung Galaxy Note 10+ - 256GB - Blue (Unlocked) (Read Description) BJ1134;1.0;305.0;1 day;1620438669.0;8 May 2021 at 9:51:09am PDT;19.0;51.0
1938;Mobile;Apple iPhone 11 - 64GB-White (without Simlock) A2221 (CDMA + GSM);176.0;388.96;7 days;1620872802.0;13 May 2021 at 10:26:42pm PDT;16.0;33.0
208;Game;PS4 Slim 500gb Console Bundle Games Controller PlayStation 4 Sony Fully Working;0.7425;135.0;1 day;1620497231.0;9 May 2021 at 2:07:11am PDT;22.0;65.0
2992;Mobile;OPPO Find X2 Pro CPH2025 - 512GB - Ceramic Black (Unlocked) (Single SIM);0.7425;262.5;7 days;1619126933.0;23 Apr 2021 at 5:28:53am PDT;22.0;52.0
3136;Game;XBOX 360 Game Lot 17 Games  Good Condition - 2 Controller��;0.99;56.0;7 days;1621894501.0;25 May 2021 at 6:15:01pm PDT;17.0;40.0
2084;Mobile;Samsung Galaxy A51 5G SM-A516U 128GB T-Mobile ONLY Smartphone Black X284;0.01;99.0;3 days;1620273617.0;6 May 2021 at 12:00:17pm PDT;24.0;63.0
3239;Mobile;Samsung Galaxy S21+ (Plus) 5G 256GB Phantom Violet + NEW/OVP + Without Simlock +;0.88;664.4;3 days;1621640901.0;22 May 2021 at 7:48:21am PDT;19.0;59.0
979;Mobile;Apple iPhone XS - 64GB - Space Gray (Unlocked) A1920 (CDMA + GSM);0.99;280.0;7 days;1620347779.0;7 May 2021 at 8:36:19am PDT;17.0;55.0
3308;Mobile;Samsung Galaxy A40 - 64GB - Black (Unlocked) (Dual SIM);11.25;61.5;7 days;1620527881.0;9 May 2021 at 10:38:01am PDT;18.0;31.0
3181;Mobile;Apple iPhone 8 Plus - 64GB - Space Gray (T-Mobile) A1897 (GSM);1.0;155.17;7 days;1620262473.0;6 May 2021 at 8:54:33am PDT;18.0;32.0
2897;Mobile;Apple iPhone 6 - 16GB - Space Gray (Unlocked) A1586 (CDMA + GSM);0.99;57.0;5 days;1621312327.0;18 May 2021 at 12:32:07pm PDT;16.0;48.0
2829;Mobile;Apple iPhone 11 Pro - 256GB - Gray (Unlocked) (Read Description) BJ1095;1.0;516.0;1 day;1620437194.0;8 May 2021 at 9:26:34am PDT;22.0;62.0
1479;Mobile;Apple iPhone 12 Pro Max - 128GB - Pacific Blue (Unlocked);336.0;1025.0;3 days;1621813740.0;24 May 2021 at 7:49:00am PDT;29.0;46.0
362;Mobile;Apple iPhone 12 Pro - 128GB - Silver MGLP3LL/A A2341;0.99;862.0;3 days;1621116022.0;16 May 2021 at 6:00:22pm PDT;22.0;42.0
1662;Mobile;Iphone pro max 12 Gold;310.0;980.0;3 days;1621728001.0;23 May 2021 at 8:00:01pm PDT;23.0;52.0
1825;Mobile;Iphone 7 32go silver grey;0.88;68.64;7 days;1619202225.0;24 Apr 2021 at 2:23:45am PDT;18.0;34.0
4113;Mobile;Apple iPhone 12 Pro Max - 128GB - Graphite (EE);0.75;639.0;7 days;1623028828.0;7 Jun 2021 at 9:20:28am PDT;19.0;28.0
3453;Game;Sony PS4 PlayStation 4 Slim 500 Black Console used with accessories and 7 games��;150.0;295.0;7 days;1621274696.0;18 May 2021 at 2:04:56pm PDT;22.0;34.0
3268;Mobile;Apple iPhone XS Max 256GB   Black Unlocked - MINT 10/10!;0.99;521.0;7 days;1619902825.0;2 May 2021 at 5:00:25pm PDT;19.0;43.0
807;Mobile;Apple iPhone 12 Pro Max - 256GB-Pacific Blue (without Simlock) SEALED NEW;0.88;976.8088;7 days;1620447341.0;8 May 2021 at 12:15:41pm PDT;20.0;46.0
3015;Mobile;Samsung Galaxy A12 SM-A125F/DSN - 64GB - Black (Unlocked) (Dual SIM);0.75;80.25;7 days;1620014696.0;3 May 2021 at 12:04:56pm PDT;17.0;42.0
2240;Mobile;Apple iPhone X 64GB Space Grey Unlocked - See Below For Faults;0.7425;99.0;5 days;1619397154.0;26 Apr 2021 at 8:32:34am PDT;18.0;41.0
538;Mobile;Apple iPhone 11 Pro 512GB - Gold (Unlocked) - Cheap Unlocked;1.386;1273.9999999999998;5 days;1621108716.0;16 May 2021 at 3:58:36am PDT;20.0;74.0
1255;Mobile;Samsung Galaxy S20 FE SM-G780F/DS - 128GB-Cloud Red (without Simlock);0.88;360.8;7 days;1619809823.0;1 May 2021 at 3:10:23am PDT;20.0;37.0
2412;Mobile;Apple iPhone 7 - 128GB - Black (Unlocked) (Read Description) BJ1067;1.0;105.5;1 day;1620270998.0;6 May 2021 at 11:16:38am PDT;23.0;50.0
1769;Mobile;Apple iPhone XS - 64GB - Silver (Unlocked);1.99;265.0;7 days;1621098801.0;16 May 2021 at 1:13:21pm PDT;17.0;43.0
858;Mobile;Apple iPhone X 64gb space grey (unlocked) 瞿0.99p Start No Reserve 5 Days;0.7425;140.25;5 days;1621198565.0;17 May 2021 at 4:56:05pm PDT;19.0;41.0
1991;Mobile;Nokia 8800 Classic RARE . SIROCCO ARTE CHEAP BARGAIN !!;0.0075;94.5;7 days;1621829529.0;24 May 2021 at 12:12:09pm PDT;18.0;43.0
3566;Mobile;Apple iPhone 12 / 128GB / Black (Unlocked);0.7425;480.75;3 days;1620154327.0;5 May 2021 at 2:52:07am PDT;22.0;52.0
201;Game;NINJA FIVE-O NINTENDO GAME BOY ADVANCE 2003 CIB COMPLETE RARE MINT GBA GRAIL!;0.01;1425.0;10 days;1621123201.0;16 May 2021 at 8:00:01pm PDT;17.0;46.0
573;Mobile;Apple iPhone 8 - 64GB-Space Grey (without Simlock) with new original battery!;0.88;95.92;3 days;1621996808.0;26 May 2021 at 10:40:08am PDT;16.0;31.0
1310;Mobile;Apple iPhone 6s - 64GB-Silver (without Simlock) A1688 (CDMA GSM);0.88;54.208;10 days;1620941152.0;14 May 2021 at 5:25:52am PDT;16.0;25.0
1216;Mobile;NEW! Apple iPhone 8 Plus - 128GB - Space Gray - (Consumer Cellular) - Smartphone;50.0;365.0;7 days;1621655099.0;22 May 2021 at 11:44:59am PDT;25.0;39.0
487;Mobile;Samsung Galaxy s10 plus SM-G975F/DS | Prism White | Dual Sim (Factory Unlocked) ;1.0;243.0;7 days;1620245950.0;6 May 2021 at 4:19:10pm PDT;20.0;64.0
3052;Mobile;Samsung Galaxy S10 Prism black SM-G973F/DS DUAL SIM 128GB Unlocked Sim-Free;0.75;198.75;7 days;1620586823.0;10 May 2021 at 3:00:23pm PDT;34.0;80.0
567;Mobile;Apple iPhone 11 Pro - 256GB - Space Gray (Verizon) A2160 (CDMA   GSM);300.0;627.0;7 days;1621911626.0;25 May 2021 at 11:00:26am PDT;17.0;33.0
1345;Mobile;Lot 10 apple iphone 7 32 gb 128 gb;0.88;344.08;7 days;1621730367.0;23 May 2021 at 8:39:27am PDT;19.0;103.0
1680;Mobile;Apple iPhone SE 2020 2nd Gen (Unlocked/AT&T) 64GB White - SMALL SCREEN ISSUE;0.99;230.0;5 days;1619222986.0;24 Apr 2021 at 8:09:46pm PDT;29.0;70.0
3106;Mobile;Xr iPhone 64gb yellow (kyu_0000114);0.88;268.4;7 days;1621452205.0;20 May 2021 at 3:23:25am PDT;17.0;62.0
4052;Mobile;Huawei P30 Pro - 128GB-breathing Crystal (without Simlock) Incl. Case + Power Su;0.88;212.08;7 days;1621621901.0;22 May 2021 at 2:31:41am PDT;16.0;44.0
1990;Mobile;Apple iPhone 7 Plus - 128GB - Black (Unlocked) A1784 (GSM);56.0;185.0;7 days;1621827373.0;24 May 2021 at 11:36:13am PDT;19.0;43.0
1516;Game;Pokemon black version 2 ds;0.88;53.68;7 days;1619629758.0;29 Apr 2021 at 1:09:18am PDT;17.0;53.0
2206;Mobile;Huawei P40 Pro 5G - 256GB - Silver (Unlocked) (Dual SIM);0.75;249.0;7 days;1619236697.0;24 Apr 2021 at 11:58:17pm PDT;20.0;52.0
930;Mobile;Oppo a53s 4gb/128gb Blue * new;8.8;109.1288;10 days;1619915722.0;2 May 2021 at 8:35:22am PDT;22.0;38.0
3981;Mobile;Apple iPhone X - 256GB - Space Grey - Unlocked;0.7425;195.0;3 days;1619323070.0;25 Apr 2021 at 11:57:50am PDT;23.0;44.0
966;Mobile;Samsung Galaxy S21 Ultra 5G SM-G998B/DS - 128GB - Phantom Silver (Unlocked);0.7425;622.5075;3 days;1619894322.0;2 May 2021 at 2:38:42am PDT;18.0;39.0
3122;Mobile;Apple iPhone 7 Plus - 32GB - Gold (Unlocked) A1784 (GSM);0.99;187.5;1 day;1621186528.0;17 May 2021 at 1:35:28pm PDT;24.0;61.0
3190;Mobile;Apple iPhone 6s Plus - 64GB - Space Grey (Unlocked) Original Box & Accessories;0.7425;60.0;7 days;1620513665.0;9 May 2021 at 6:41:05am PDT;18.0;45.0
3579;Mobile;Apple iPhone X - 64GB - Space Gray (Unlocked) A1865 (CDMA + GSM);190.0;325.0;7 days;1620682981.0;11 May 2021 at 5:43:01am PDT;16.0;25.0
2483;Mobile;Apple iPhone XS - 64GB - Space Gray (Unlocked) A1920 (CDMA + GSM);0.99;275.0;5 days;1621215657.0;17 May 2021 at 9:40:57am PDT;22.0;50.0
2984;Mobile;Apple iPhone 8+ - 64GB - Silver (Unlocked) (Read Description) CC1076;1.0;232.5;1 day;1621972158.0;26 May 2021 at 3:49:18pm PDT;17.0;44.0
3123;Mobile;Apple iPhone 6s - 32GB - Space Gray (Unlocked) A1633 (CDMA + GSM) ;0.99;81.0;1 day;1621190720.0;17 May 2021 at 2:45:20pm PDT;17.0;46.0
2141;Mobile;Apple iPhone X - 64GB - Space Grey (Vodafone) Model A1901;0.7425;131.25;7 days;1621140343.0;16 May 2021 at 12:45:43pm PDT;17.0;42.0
2908;Mobile;Huawei P30 Pro VOG-L29 - 128GB - Aurora VERY GOOD condition EE Network.;0.7425;138.7875;7 days;1621565389.0;21 May 2021 at 10:49:49am PDT;17.0;54.0
3786;Mobile;Apple iPhone 11 Pro 256GB Silver Unlocked No Bundle New Never Used Apple Care;0.7425;510.75;7 days;1621725984.0;23 May 2021 at 7:26:24am PDT;28.0;76.0
703;Mobile;Samsung Galaxy S20 Ultra - 128GB-Cosmic Grey 9 months warranty 400Gb Card;0.88;447.61199999999997;10 days;1621481411.0;20 May 2021 at 11:30:11am PDT;26.0;67.0
1312;Mobile;Apple iPhone 8 Plus (PRODUCT)RED - 64GB - (Unlocked) A1897 (GSM);0.7425;135.75;7 days;1620708701.0;11 May 2021 at 12:51:41pm PDT;19.0;50.0
2105;Mobile; Samsung Galaxy A42 6.6 Inch 128GB 48MP 5G - Black. Factory unlocked.brand new. ;0.7425;145.5;5 days;1620324703.0;7 May 2021 at 2:11:43pm PDT;18.0;22.0
274;Mobile;Xiaomi Mi Note 10 - 6 GB RAM 128GB ROM - Midnight Black (Unlocked) (Dual SIM);0.7425;138.75;5 days;1619237540.0;24 Apr 2021 at 12:12:20pm PDT;16.0;32.0
955;Mobile;Samsung Galaxy S10 SM-G973U - 128GB - White (Verizon) Unlocked Smartphone;0.99;205.5;5 days;1619900430.0;2 May 2021 at 4:20:30pm PDT;21.0;58.0
3670;Mobile;Xiaomi Redmi Note 7 - 64GB - Neptune Blue (Unlocked) (Dual SIM);0.99;50.0;7 days;1619918078.0;2 May 2021 at 9:14:38am PDT;16.0;45.0
1905;Mobile;Apple iPhone X - 256gb-Space Grey Without Simlock;0.88;283.36;7 days;1620524732.0;9 May 2021 at 9:45:32am PDT;16.0;52.0
6;Mobile;Mobile Phone Huawei Mate 10 Pro 128GB-titaniumgrau (without Simlock) with Sleeve;0.88;106.48;7 days;1619292764.0;25 Apr 2021 at 3:32:44am PDT;20.0;30.0
1716;Mobile;Samsung Galaxy S20 Ultra G988U (Unlocked/AT&T) Black CRACKED/SPOT/LINE/BAD CAM;0.99;247.0;5 days;1619999742.0;3 May 2021 at 7:55:42pm PDT;16.0;51.0
3114;Crafts; BROTHER 1034D Serger OverLock Machine;0.99;183.5;7 days;1621565227.0;21 May 2021 at 10:47:07am PDT;25.0;76.0
1245;Mobile;APPLE IPHONE XS MAX GOLD 512GB;100.0;500.0;3 days;1619119808.0;23 Apr 2021 at 3:30:08pm PDT;18.0;42.0
3174;Mobile;Apple iPhone Xr 64gb Black Unlocked ANY SIM WORKS! SHIPS FAST!;0.99;292.97;1 day;1619472361.0;27 Apr 2021 at 5:26:01pm PDT;26.0;93.0
1126;Mobile;Apple iPhone 12 mini - 64GB - Black (EE) BRAND NEW NEVER OPENED;75.0;423.0;7 days;1619889876.0;2 May 2021 at 1:24:36pm PDT;17.0;35.0
651;Mobile;Apple iPhone 8 Plus (PRODUCT)RED 256GB (Unlocked) A1864 (CDMA + GSM);0.99;315.0;7 days;1620338859.0;7 May 2021 at 6:07:39pm PDT;17.0;65.0
1713;Mobile;Samsung - Galaxy Fold with 512GB Memory Cell Unlocked) - Cosmos Black (6682);0.99;520.0;5 days;1619915707.0;2 May 2021 at 8:35:07pm PDT;18.0;73.0
3076;Mobile;Samsung Galaxy S21 5G SM-G991B/DS - 128GB - Phantom White (Unlocked);0.75;390.75;7 days;1620877528.0;13 May 2021 at 11:45:28am PDT;16.0;53.0
2885;Mobile;Apple iPhone 8 Plus (PRODUCT)RED - 64GB - (Unlocked) A1864 (CDMA + GSM);0.99;232.5;7 days;1621361167.0;19 May 2021 at 2:06:07pm PDT;26.0;61.0
2626;Mobile;Apple iPhone 11 Pro - 256GB - Space Gray (Unlocked) A2160 (CDMA + GSM);0.99;541.0;7 days;1619581426.0;28 Apr 2021 at 11:43:46am PDT;27.0;60.0
1871;Mobile;Samsung Galaxy S10+ Plus SM-G975U (Verizon) 128GB Black - SMALL SPOTS ON LCD;0.99;255.0;5 days;1619725871.0;30 Apr 2021 at 3:51:11pm PDT;21.0;61.0
1395;Game;Authentic Pokemon Red+Yellow+Blue+Gold+Silver +Gameboy Color Pikachu +GB Pocket;50.0;451.25;7 days;1619906401.0;2 May 2021 at 6:00:01pm PDT;17.0;53.0
2117;Game;Nintendo switch console with games and original box;0.7425;198.75;5 days;1620448526.0;8 May 2021 at 12:35:26pm PDT;18.0;46.0
2140;Mobile;Apple iPhone SE - 128GB-Silver (without Simlock) A1723 ** LIKE NEW **;0.88;73.04;7 days;1621135740.0;16 May 2021 at 11:29:00am PDT;19.0;35.0
1356;Mobile;LOT OF THREE! Samsung Galaxy J7 Star SM-J737T/T1 - 32GB - (Unlocked)Smartphones;0.99;108.0;5 days;1621887912.0;25 May 2021 at 4:25:12pm PDT;21.0;40.0
1202;Mobile;Samsung Galaxy S21 Ultra 5G SM-G998U - 128GB - Phantom Black (Unlocked)��;353.0;846.99;7 days;1621479724.0;20 May 2021 at 11:02:04am PDT;16.0;34.0
993;Mobile;Samsung Galaxy A51 SM-A515U - 128GB - Prism Crush Blue (Unlocked) (Single SIM);0.99;201.5;7 days;1620687601.0;11 May 2021 at 7:00:01pm PDT;19.0;59.0
3364;Mobile;Apple iPhone 6 Plus - 128GB-Silver (without Simlock) A1524 (CDMA + GSM);0.88;70.3912;7 days;1619302420.0;25 Apr 2021 at 6:13:40am PDT;16.0;36.0
2854;Mobile;Apple iPhone XS Max - 256GB - Gold (Unlocked) A2101 (GSM);0.75;322.5;7 days;1621100720.0;16 May 2021 at 1:45:20pm PDT;23.0;66.0
2815;Game;Playstation 4 Slim Console 500GB with Games Included ;0.7425;146.25;7 days;1620852314.0;13 May 2021 at 4:45:14am PDT;19.0;74.0
2812;Mobile;Apple iPhone 8 - 64GB - Gray (Unlocked) (Read Description) BI1093;1.0;148.0;1 day;1620243591.0;6 May 2021 at 3:39:51pm PDT;23.0;60.0
142;Mobile;Apple iPhone XS Max - 256GB - Gold (Unlocked) A1921 (CDMA + GSM);5.0;435.0;1 day;1619322390.0;25 Apr 2021 at 11:46:30am PDT;23.0;50.0
3329;Mobile;Apple iPhone XS Max - 512GB - Gold (Unlocked) A1921 (CDMA + GSM);391.0;769.0;7 days;1621303952.0;18 May 2021 at 10:12:32am PDT;16.0;38.0
2505;Mobile;Samsung Galaxy S9 SM-G960 - 64GB - Coral Blue (Verizon) Smartphone;0.99;103.5;5 days;1621386028.0;19 May 2021 at 9:00:28am PDT;18.0;48.0
2533;Mobile;Apple iPhone SE 2nd Gen. - 128GB - Black (Unlocked) A2275 (CDMA + GSM);50.0;310.0;3 days;1621385096.0;19 May 2021 at 8:44:56am PDT;18.0;47.0
2380;Mobile;Apple iPhone 6 - 16GB - Space Gray (Unlocked) A1586 (CDMA + GSM);0.99;78.99;5 days;1620438391.0;8 May 2021 at 9:46:31am PDT;17.0;46.0
1945;Game;Mortal Kombat Trilogy Nintendo 64 Game N64 Game Authentic And Tested ���休���;0.99;53.23;7 days;1621026691.0;15 May 2021 at 5:11:31pm PDT;18.0;36.0
1034;Mobile;Samsung Galaxy S9 SM-G960F - 64GB - Coral Blue (Unlocked) (Single SIM);0.75;94.5;1 day;1620707404.0;11 May 2021 at 12:30:04pm PDT;18.0;36.0
2344;Mobile;Apple iPhone 11 Pro - 256GB - Gray (Unlocked) (Read Description) BI1149;1.0;542.0;1 day;1619728374.0;30 Apr 2021 at 4:32:54pm PDT;17.0;44.0
1961;Mobile;Apple iPhone X Space Grey 64 GB (without Simlock);0.88;132.88;5 days;1621139314.0;16 May 2021 at 12:28:34pm PDT;16.0;40.0
565;Mobile;Apple iPhone 8  top speaker works but quite!;0.7425;66.0;3 days;1621482274.0;20 May 2021 at 11:44:34am PDT;17.0;39.0
140;Crafts;Singer 14CG754.CL ProFinish Sewing Machine;0.01;117.5;7 days;1619895601.0;2 May 2021 at 3:00:01pm PDT;16.0;41.0
639;Game;Pokemon Silver Version - Game Boy Color - Complete in Box - Pristine Box;1.0;450.0;5 days;1619903434.0;2 May 2021 at 5:10:34pm PDT;20.0;64.0
3163;Mobile;Samsung Galaxy S8 - 64GB-Midnight black (without Simlock);0.88;97.68;10 days;1619924649.0;2 May 2021 at 11:04:09am PDT;24.0;69.0
1834;Mobile;Apple iPhone XS 64GB (Unlocked) - Gold - BRAND NEW FROM APPLE (see description);0.7425;279.0;7 days;1619286152.0;25 Apr 2021 at 1:42:32pm PDT;18.0;64.0
1568;Mobile;Oneplus 8 5g Mobile Phone;0.7425;207.75;5 days;1620320449.0;7 May 2021 at 1:00:49pm PDT;20.0;54.0
1581;Game;Pok矇mon: Emerald Edition (Nintendo Game Boy Advance 2005) Original Box Packagin;0.88;124.08;5 days;1620522924.0;9 May 2021 at 9:15:24am PDT;18.0;23.0
3930;Game;NES Zelda 2 the Adventure's of link incl. Original Box & Manual CIB;0.88;112.596;7 days;1621043428.0;15 May 2021 at 9:50:28am PDT;21.0;29.0
2883;Mobile;Apple iPhone 8 | 64GB | Space Grey | UNLOCKED | A1897 | Ref 2;0.7425;120.0;3 days;1621053608.0;15 May 2021 at 12:40:08pm PDT;17.0;47.0
3176;Mobile;Apple iPhone 11 Pro Max 64GB Space Gray A2161 AT&T Unlocked Good Condition;1.0;670.0;7 days;1620084759.0;4 May 2021 at 7:32:39am PDT;25.0;51.0
3619;Mobile;Apple iPhone 6-32GB-Boxed-Unlocked;3.7425;40.5;7 days;1621468108.0;20 May 2021 at 7:48:28am PDT;17.0;30.0
3612;Mobile;Samsung Galaxy S7 Edge SM-G935F Phone 32GB 4GB RAM Gold Champagne Unlocked;7.4775;61.5;10 days;1621743244.0;23 May 2021 at 12:14:04pm PDT;18.0;30.0
1849;Mobile;Huawei P30 Pro VOG-L09 - 128GB-breathing Crystal (without Simlock) (8GB Ram spot;0.88;226.16;7 days;1619457406.0;27 Apr 2021 at 1:16:46pm PDT;18.0;38.0
2634;Mobile;Samsung Galaxy Note20 5G SM-N981U - 128GB - Mystic Gray (T-Mobile);0.99;455.0;7 days;1619666533.0;29 Apr 2021 at 11:22:13am PDT;24.0;55.0
3091;Mobile;Apple iPhone X - 64GB-Space Grey (Vodafone) A1901 (GSM);0.88;178.64;10 days;1621479609.0;20 May 2021 at 11:00:09am PDT;17.0;63.0
2979;Mobile;Samsung Galaxy S10+ - 128GB - Black (Sprint) (Read Description) CC1004;1.0;252.49;1 day;1621918029.0;25 May 2021 at 12:47:09pm PDT;19.0;46.0
598;Mobile;Samsung Galaxy S10+ SM-G975F - 128GB - Prism White (Unlocked) (Dual SIM);0.0075;221.25;5 days;1619314616.0;25 Apr 2021 at 9:36:56am PDT;17.0;41.0
4087;Mobile;Samsung Galaxy Note 10 Plus 5g 256gb Unlocked;0.7425;184.5;3 days;1619490818.0;27 Apr 2021 at 10:33:38am PDT;21.0;55.0
1690;Mobile;Apple iPhone 12 Pro Max - 256GB - Graphite (EE);0.7425;667.5;3 days;1619464519.0;27 Apr 2021 at 3:15:19am PDT;26.0;46.0
3;Mobile;Xiaomi MI 9 Dual Sim 128GB Blue-FAULTY-SEE DESCRIPTION;0.88;71.324;7 days;1619235812.0;24 Apr 2021 at 11:43:32am PDT;16.0;23.0
1606;Mobile;Apple iPhone 11 Pro Max - 64GB - Space Gray (Unlocked) A2161 (CDMA + GSM);99.99;730.0;5 days;1620680037.0;11 May 2021 at 4:53:57pm PDT;18.0;42.0
3146;Mobile;OnePlus 7 Pro - 256GB - Nebula Blue (8GB RAM) (Unlocked) (Dual SIM);50.0;265.0;7 days;1619118550.0;23 Apr 2021 at 3:09:10pm PDT;21.0;71.0
