asin;name;openbid;auction_duration;unixEndDate;endDate;bidders;bids
2949;Samsung Galaxy S10 SM-G973 - 128GB-Prism White (without Simlock) (Single SIM);EUR 100.00;5 days;1619926299.0;2 May 2021 at 11:31:39am PDT;8.0;30.0
2343;Apple iPhone 7 128GB Rose Gold - Unlocked;GBP 0.01;7 days;1620530430.0;9 May 2021 at 11:20:30am PDT;11.0;41.0
1026;Apple iPhone X - 64GB - Space Grey (Unlocked) A1901 (GSM) With faults;GBP 1.00;7 days;1620443386.0;8 May 2021 at 11:09:46am PDT;18.0;33.0
960;LOT OF TWO! Samsung Galaxy J3 SM-J327VPP/AZ - 16GB Smartphones;$0.99;5 days;1621887016.0;25 May 2021 at 4:10:16pm PDT;4.0;17.0
90;MODA ���SARAH���S STORY��� Boxed Quilt KIT Betty Chutchian 51x64���;$35.00;5 days;1621213768.0;17 May 2021 at 9:09:28am PDT;5.0;28.0
3071;Huawei P30 Pro VOG-L29 - 128GB-Aurora (Unlocked) (Dual Sim);EUR 1.00;3 days;1621380312.0;19 May 2021 at 7:25:12am PDT;15.0;67.0
2405;Samsung Galaxy Note10+ SM-N975F - 256GB - Aura Glow (Unlocked) (Single SIM);AU $0.01;5 days;1619217531.0;24 Apr 2021 at 6:38:51am PDT;23.0;50.0
2880;PS1 PS2 PS3 RPG Lot Final Fantasy;$0.99;7 days;1619289314.0;25 Apr 2021 at 2:35:14pm PDT;11.0;21.0
2966;Hey Punk are you Tuff E Nuff Snes Nintendo New Factory Sealed VGA WATA ??;$0.99;7 days;1620510864.0;9 May 2021 at 5:54:24pm PDT;10.0;38.0
1863;Sony Pulse 3D Wireless Gaming Headset for PS5 - White/Black;GBP 30.00;5 days;1620535622.0;9 May 2021 at 12:47:02pm PDT;9.0;21.0
1320;Samsung Galaxy S8 SM-G950F - 64GB - Orchid Gray (Unlocked);GBP 47.00;7 days;1621909894.0;25 May 2021 at 10:31:34am PDT;9.0;21.0
802;Pokemon Snap Nintendo 64 CID Authentic Amazing condition!;$15.00;7 days;1621549867.0;21 May 2021 at 6:31:07pm PDT;5.0;22.0
1597;Apple iPhone XS Max 256GB Silver Unlocked Mint Condition;GBP 0.99;1 day;1621138061.0;16 May 2021 at 12:07:41pm PDT;14.0;34.0
2301;Huawei P9 Lite - 16Gb Black (EE) - Excellent condition;GBP 0.99;7 days;1619322323.0;25 Apr 2021 at 11:45:23am PDT;7.0;19.0
2220;Apple iPhone 7 - 32GB - Rose Gold (Unlocked) A1660 (CDMA + GSM);$0.99;5 days;1620438392.0;8 May 2021 at 9:46:32am PDT;11.0;32.0
2404;Pok矇mon sapphire box + manuals-no game;EUR 10.00;7 days;1619376057.0;26 Apr 2021 at 2:40:57am PDT;7.0;39.0
935;Xiaomi Redmi Note 10 Pro - 128GB-Onyx Gray (without Simlock) (Dual Sim);EUR 130.00;3 days;1621045423.0;15 May 2021 at 10:23:43am PDT;8.0;24.0
281;NEW FACTORY SEALED SHOWDOWN LEGENDS OF WRESTLING PS2 PLAYSTATION WWE WWF WCW NWA;$9.99;10 days;1621648992.0;22 May 2021 at 10:03:12am PDT;8.0;22.0
2168;Apple iPhone 12 - 64GB - Blue (Unlocked) Brand New - Sealed -Full Apple Warranty;GBP 250.00;5 days;1619888953.0;2 May 2021 at 1:09:13pm PDT;12.0;19.0
3002;sega megadrive games street fighter 2 & mortal kombat;GBP 8.00;7 days;1619381656.0;26 Apr 2021 at 4:14:16am PDT;6.0;14.0
1812;last of us 2 ps4 game;GBP 6.80;7 days;1619891602.0;2 May 2021 at 1:53:22pm PDT;6.0;16.0
551;Apple iPhone XR - 64GB-Black (without Simlock) A2105 (GSM);EUR 25.00;3 days;1621823518.0;24 May 2021 at 10:31:58am PDT;10.0;47.0
2126;Samsung Galaxy S21 Ultra 5G SM-G998B/DS 512gb 12GB Dual ATT ;$551.00;7 days;1619542917.0;28 Apr 2021 at 1:01:57am PDT;12.0;26.0
618;Apple iPhone 8 - 64GB-Space Grey (without Simlock) A1905 (GSM);EUR 1.00;10 days;1620784635.0;12 May 2021 at 9:57:15am PDT;15.0;45.0
1325;New Samsung Galaxy S21 5G 256GB - Phantom Gray (Unlocked);$1.00;1 day;1621641601.0;22 May 2021 at 8:00:01am PDT;7.0;35.0
1879;Lot of 3 Sega Dreamcast Video Game Systems Consoles Only AS-IS for Parts/Repair;$40.00;5 days;1620857538.0;13 May 2021 at 6:12:18pm PDT;4.0;22.0
525;Persona 5 Strikers with Bonus Content (PS4) BRAND NEW (UNOPENED) Factory Sealed;$0.01;7 days;1621289058.0;18 May 2021 at 6:04:18pm PDT;5.0;19.0
2717;IPhone x 64gb;EUR 50.00;7 days;1619814204.0;1 May 2021 at 4:23:24am PDT;15.0;39.0
1920;Huawei Mate 20 Pro LYA-L09 - 128GB-Black (without Simlock) - Single Sim;EUR 59.00;7 days;1619405521.0;26 Apr 2021 at 10:52:01am PDT;12.0;35.0
1111;Apple iPhone 11 Pro Max - 256GB - Gold (Unlocked) A2161 (CDMA + GSM);$100.00;3 days;1619120221.0;23 Apr 2021 at 3:37:01pm PDT;19.0;59.0
386;The House of the Dead 2 & 3 Return (Nintendo Wii 2008);$10.00;5 days;1620606028.0;10 May 2021 at 8:20:28pm PDT;6.0;21.0
764;Auction - Apple iPhone 5s - 32GB - Space Grey - Apple ID locked ;AU $28.00;7 days;1620506380.0;9 May 2021 at 4:39:40pm PDT;4.0;17.0
2180;Samsung Galaxy S7 - 32GB - Black (Unlocked) (Read Description) BI1112;$1.00;1 day;1619641994.0;29 Apr 2021 at 4:33:14pm PDT;12.0;25.0
1821;OnePlus 6 Phone with Dual Sim - 128GB - Black (Unlocked)��;GBP 0.99;7 days;1620094123.0;4 May 2021 at 10:08:43am PDT;15.0;39.0
2678;Samsung S20 Plus Black in Original Box Mint Condition - 12 months old;EUR 157.00;7 days;1621639502.0;22 May 2021 at 7:25:02am PDT;10.0;24.0
2883;Apple iPhone 7 Plus - 128GB - Jet Black (AT&T) A1784 (GSM);$40.00;3 days;1619233085.0;24 Apr 2021 at 10:58:05am PDT;7.0;44.0
2810;Xbox-halo-press promo preview version confidential;EUR 4.99;10 days;1619665933.0;29 Apr 2021 at 11:12:13am PDT;6.0;22.0
1489;IPhon 7 Plus 256 GB Schwartz;EUR 140.00;5 days;1621740728.0;23 May 2021 at 11:32:08am PDT;5.0;17.0
545;Lufia II Rise of the Sinistrals - Lufia & The Fortress of Doom SNES 2 Cartridges;$0.99;7 days;1621895839.0;25 May 2021 at 6:37:19pm PDT;9.0;27.0
1875;Xbox One S 1TB (White) + Games + Accessories;GBP 79.99;7 days;1621134042.0;16 May 2021 at 11:00:42am PDT;8.0;25.0
458;call of duty cold war ps4 game;$0.99;3 days;1619549519.0;28 Apr 2021 at 2:51:59pm PDT;9.0;31.0
1433;Apple iPhone X Space Grey 64GB;EUR 1.00;3 days;1620234887.0;6 May 2021 at 1:14:47pm PDT;13.0;50.0
1396;Oneplus 8 5g Mobile Phone;GBP 0.99;5 days;1620320449.0;7 May 2021 at 1:00:49pm PDT;20.0;54.0
2324;Apple iPhone 8 - 64GB - Space Gray (Unlocked) A1863 GSM ;$0.99;1 day;1619572020.0;28 Apr 2021 at 9:07:00am PDT;17.0;55.0
1831;4 X 400G CREAM BEIGE WOOL BALLS LOREN BNWT;GBP 4.00;7 days;1620271060.0;6 May 2021 at 11:17:40am PDT;4.0;16.0
1853;Samsung Galaxy S10e SM-G970 - 128GB - Canary Yellow (Unlocked) (dual SIM);GBP 0.99;5 days;1620424285.0;8 May 2021 at 5:51:25am PDT;18.0;47.0
145;Vintage Sanderson 'Malwood' fabric Linen Union slight second 10.5 m remnant;GBP 12.40;7 days;1619458273.0;27 Apr 2021 at 1:31:13pm PDT;5.0;23.0
2133;Samsung Galaxy Note20 Ultra 5G SM-N986U - 128GB - Mystic Black (AT&T);$0.99;7 days;1619666533.0;29 Apr 2021 at 11:22:13am PDT;16.0;62.0
2116;Samsung Galaxy A21s SM-A217F/DSN - 32GB - Black (Unlocked) (Dual SIM);GBP 0.99;5 days;1619198167.0;24 Apr 2021 at 1:16:07pm PDT;19.0;38.0
737;Donkey kong 64 complete box instructions nintendo 64 n64 pal euro cib ovp game g;EUR 1.00;10 days;1620533031.0;9 May 2021 at 12:03:51pm PDT;13.0;30.0
2362;Samsung Galaxy S10 SM-G973F/DS - 128GB-Prism Black (without Simlock) (Dual Sim);EUR 85.00;7 days;1620952163.0;14 May 2021 at 8:29:23am PDT;13.0;64.0
2418;Apple iPhone 6 (A1586) 16GB (Unlocked) GSM+CDMA Smartphone - Rose Gold;GBP 0.99;7 days;1619837410.0;1 May 2021 at 10:50:10pm PDT;9.0;22.0
650;iPhone model A1549  No cracks on screen  locked. For parts or not working;$0.99;7 days;1621103872.0;16 May 2021 at 2:37:52pm PDT;7.0;25.0
1127;job lot vintage sewing patterns;GBP 5.00;7 days;1620078862.0;4 May 2021 at 5:54:22am PDT;5.0;23.0
25;Lot 6 playstation 1 games resident evil 2 rival school die hard trilogy ps1;EUR 8.50;7 days;1619900754.0;2 May 2021 at 4:25:54am PDT;13.0;38.0
351;���崑iaomi Redmi Note 9 Dual Sim 3GB 64GB Smartphone Grey ��� Fast Delivery ����;GBP 0.99;7 days;1620328681.0;7 May 2021 at 3:18:01am PDT;13.0;47.0
2789;Apple iPhone 7 - 32GB - Rose Gold (ID supported by Three) A1778 (GSM);GBP 1.00;3 days;1621136289.0;16 May 2021 at 11:38:09am PDT;7.0;26.0
1358;NEW Samsung Galaxy Note20 Ultra 5G - 256GB - Mystic Bronze UNLOCKED ;GBP 0.99;1 day;1619209134.0;24 Apr 2021 at 4:18:54am PDT;16.0;39.0
841;Motorola Moto G Power (2021);$25.00;7 days;1619823651.0;1 May 2021 at 7:00:51am PDT;5.0;14.0
2974;Samsung SM-N910F Galaxy Note 4 32GB Smartphone (Unlocked) - Charcoal Black;GBP 29.70;7 days;1620703457.0;11 May 2021 at 11:24:17am PDT;7.0;21.0
983;Apple iPhone XS Max - 64GB-Space Grey (without Simlock) A2101 (GSM);EUR 1.00;5 days;1619483479.0;27 Apr 2021 at 8:31:19am PDT;18.0;45.0
1877;Nokia Bundle Without Battery 7 Pieces Spare Parts Phone;EUR 1.00;7 days;1620964706.0;14 May 2021 at 11:58:26am PDT;5.0;15.0
2572;Samsung Galaxy S9 SM-G960 - 64GB-Lilac Violet (without Simlock) (Dual Sim);EUR 1.00;10 days;1619922648.0;2 May 2021 at 10:30:48am PDT;11.0;26.0
2892;Fire Emblem The Sacred Stones Game Boy Advance GBA CIB Complete;$120.00;7 days;1619909821.0;2 May 2021 at 6:57:01pm PDT;5.0;13.0
2952;Mario & Sonic at the Tokyo 2020 Olympic Games Nintendo Switch New Sealed;GBP 0.99;10 days;1620534645.0;9 May 2021 at 12:30:45pm PDT;9.0;25.0
583;Mario party 10 new in blister wii u pal euro brand new sealed game x neu ovp;EUR 1.00;10 days;1620526902.0;9 May 2021 at 10:21:42am PDT;10.0;21.0
1005;Box/Lot of Acrylic Yarn;$0.99;7 days;1620006591.0;3 May 2021 at 9:49:51am PDT;5.0;31.0
1391;Huawei P40 Lite 5G - Unlocked - 128GB + 6GB - Midnight Black;GBP 0.99;7 days;1620507606.0;9 May 2021 at 5:00:06am PDT;17.0;35.0
2663;Criminal Girls 2: Party Favors (Sony PlayStation Vita 2016);$1.00;7 days;1621050516.0;15 May 2021 at 11:48:36pm PDT;7.0;29.0
40;Pokemon Colosseum (Nintendo GameCube) DISC ONLY - Tested Working;$44.00;7 days;1620163064.0;5 May 2021 at 5:17:44pm PDT;9.0;29.0
718;Mobile phone collection phone Bundle i phone Sony Huawei Motorola Easy Phon;EUR 1.00;7 days;1619921219.0;2 May 2021 at 10:06:59am PDT;17.0;37.0
723;Samsung Galaxy Note20 Ultra 5G SM-N986B/DS - 256GB - Mystic Bronze (Unlocked);GBP 100.00;3 days;1619638199.0;29 Apr 2021 at 3:29:59am PDT;14.0;33.0
2577;Microsoft Original Xbox Console Bundle w/ Controller & 6 Games Fully Tested ;$0.99;5 days;1619294637.0;25 Apr 2021 at 4:03:57pm PDT;7.0;42.0
2707;Nokia 5.4 - 64GB - Polar Night (Unlocked) (Dual SIM) Mint Condition;GBP 0.99;5 days;1619312550.0;25 Apr 2021 at 9:02:30am PDT;5.0;29.0
1585;Banjo-Kazooie N64 Nintendo 64 Complete CIB AUTHENTIC Tested Good Condition! NICE;$0.99;7 days;1621199758.0;17 May 2021 at 5:15:58pm PDT;16.0;52.0
593;���休��休��� 2 PlayStation 2 Guitar Hero Red Octane Wired Guitar Controllers w/ 8 Game;$0.01;7 days;1619904621.0;2 May 2021 at 5:30:21pm PDT;10.0;36.0
1925;Mario + Rabbids: Kingdom Battle (Switch 2017);AU $8.00;7 days;1619485392.0;27 Apr 2021 at 9:03:12pm PDT;6.0;15.0
390;Apple iPhone 8  (PRODUCT)RED - 64GB - (Unlocked)  (GSM);GBP 90.00;3 days;1620498412.0;9 May 2021 at 2:26:52pm PDT;5.0;17.0
1678;Sony xperia f3116 xa;EUR 1.00;7 days;1620494004.0;9 May 2021 at 1:13:24am PDT;12.0;37.0
343;Apple iPhone 11 - 64GB-Black (without Simlock) A2221 (CDMA + GSM);EUR 1.00;7 days;1620161638.0;5 May 2021 at 4:53:58am PDT;15.0;94.0
3054;UNLOCKED APPLE iPHONE XS MAX 256GB Smart Phone - AT&T T-Mobile Metro Mint Ultra;$99.00;7 days;1620765801.0;12 May 2021 at 4:43:21pm PDT;17.0;48.0
2629;Nintendo SNES complete with 12 games;$40.00;7 days;1620529609.0;9 May 2021 at 11:06:49am PDT;13.0;29.0
662;Unlocked Samsung Galaxy S9+ Plus SM-G965U 64GB AT&T GSM Phone (Read Description);$0.99;5 days;1621128075.0;16 May 2021 at 9:21:15am PDT;19.0;47.0
222;Ps4 Pro 1TB Death stranding Limited Edition with 2 Playstation Games;EUR 1.00;7 days;1620531015.0;9 May 2021 at 11:30:15am PDT;8.0;48.0
258;Collection of 12 great PS4/Playstation 4 Games (TITLES SEE PHOTO) NEW + OVP;EUR 1.00;3 days;1620589742.0;10 May 2021 at 3:49:02am PDT;9.0;23.0
2644;Samsung Galaxy Note 9 Demo vision defect to hobbyists!!!;EUR 1.00;3 days;1620271659.0;6 May 2021 at 11:27:39am PDT;7.0;15.0
